length,maxspeed,lanes,highway
901.9050000000001,40 mph,3,motorway
121.70899999999999,25 mph,,primary
101.651,,1,primary_link
71.62,,1,primary_link
85.11100000000002,25 mph,1,secondary
109.36399999999999,,1,motorway_link
461.017,,3,motorway
110.23499999999999,,1,motorway_link
668.4569999999998,40 mph,3,motorway
176.78100000000006,,1,motorway_link
49.675000000000004,,4,secondary
40.081,,4,secondary
203.806,25 mph,"['2', '3']",tertiary
172.662,,1,motorway_link
169.678,25 mph,1,tertiary
160.87499999999997,15 mph,1,unclassified
18.308,,,secondary
79.866,,3,primary
132.42100000000002,,,secondary
88.696,,,residential
132.421,,,secondary
80.822,,,secondary
226.66899999999998,,,residential
80.822,,,secondary
82.34599999999999,,,secondary
125.279,,,residential
82.34599999999999,,,secondary
78.513,,,secondary
173.278,,,residential
78.513,,,secondary
82.60300000000001,,,secondary
82.60300000000001,,,secondary
118.24100000000001,,,secondary
157.555,,,residential
105.30999999999999,,,secondary
118.241,,,secondary
184.131,,,secondary
227.692,,2,secondary
227.692,,2,secondary
77.548,25 mph,2,secondary
233.73000000000002,,,tertiary
77.548,25 mph,2,secondary
77.396,25 mph,2,secondary
77.396,25 mph,2,secondary
78.382,25 mph,2,secondary
127.82100000000001,,,residential
77.407,25 mph,2,secondary
78.382,25 mph,2,secondary
171.359,,,residential
77.407,25 mph,2,secondary
79.221,25 mph,2,secondary
202.37,,1,residential
79.221,25 mph,2,secondary
77.91799999999999,25 mph,2,secondary
149.25900000000001,,,residential
77.91799999999999,25 mph,2,secondary
56.432,25 mph,2,secondary
79.26400000000001,25 mph,2,secondary
56.432,25 mph,2,secondary
134.43200000000002,25 mph,1,residential
79.26400000000001,25 mph,2,secondary
73.289,25 mph,2,secondary
97.79899999999999,25 mph,2,secondary
79.305,25 mph,1,residential
73.28899999999999,25 mph,2,secondary
79.791,20 mph,2,secondary
105.77699999999999,20 mph,2,secondary
196.48499999999999,20 mph,,residential
82.682,20 mph,2,secondary
141.076,20 mph,2,secondary
105.77700000000002,20 mph,2,secondary
85.516,20 mph,2,secondary
142.92000000000002,20 mph,2,secondary
141.076,20 mph,2,secondary
81.21100000000001,20 mph,,residential
197.87,20 mph,2,secondary
142.92000000000002,20 mph,2,secondary
76.597,20 mph,,residential
197.87,20 mph,2,secondary
248.614,20 mph,2,secondary
308.769,20 mph,2,tertiary
268.89200000000005,20 mph,2,tertiary
86.89300000000001,20 mph,,residential
248.614,20 mph,2,secondary
215.61299999999997,25 mph,1,residential
35.537,25 mph,2,residential
75.149,25 mph,,residential
95.002,25 mph,1,unclassified
41.965,25 mph,1,residential
58.871,25 mph,1,unclassified
37.717,25 mph,4,primary
77.538,25 mph,4,primary
90.4,25 mph,1,residential
34.519999999999996,25 mph,1,residential
65.984,25 mph,2,primary
30.226,25 mph,2,primary
63.062,25 mph,2,secondary
11.089,25 mph,1,unclassified
91.487,25 mph,3,residential
159.98000000000002,25 mph,2,residential
75.36,25 mph,"['2', '1']",secondary
89.749,25 mph,1,residential
150.185,25 mph,1,secondary
89.06099999999999,25 mph,1,secondary
75.795,25 mph,1,residential
52.115,25 mph,1,secondary
76.727,25 mph,1,tertiary
84.95100000000001,25 mph,1,secondary
67.08800000000001,25 mph,4,trunk
74.956,25 mph,4,trunk
31.415999999999997,25 mph,1,secondary
116.19999999999999,25 mph,1,secondary
59.885,25 mph,,residential
42.411,,1,secondary
135.463,25 mph,"['3', '1']",secondary
71.92099999999999,25 mph,1,secondary
52.119,25 mph,2,secondary
7.222,25 mph,3,secondary
111.464,25 mph,2,residential
222.81400000000002,25 mph,"['2', '1']",primary
66.808,25 mph,2,residential
57.235,25 mph,,residential
74.94,25 mph,,residential
77.90500000000002,25 mph,1,residential
31.858,25 mph,1,residential
79.392,25 mph,,residential
136.63400000000001,25 mph,2,residential
135.31,25 mph,2,residential
141.333,25 mph,1,residential
14.166,25 mph,2,secondary
231.639,25 mph,"['2', '3']",primary
116.167,25 mph,,residential
74.049,25 mph,3,secondary
309.291,25 mph,,residential
74.53099999999999,25 mph,"['4', '5']",secondary
273.814,25 mph,,residential
74.431,25 mph,3,secondary
274.183,25 mph,1,residential
74.161,25 mph,"['4', '3']",secondary
277.697,25 mph,,residential
74.051,25 mph,3,secondary
224.07700000000003,25 mph,,unclassified
269.908,25 mph,,residential
73.783,25 mph,,primary
79.56,30 mph,3,trunk
8.914,25 mph,2,residential
74.971,25 mph,"['2', '1']",residential
59.428,25 mph,2,residential
78.16,25 mph,,residential
64.065,25 mph,2,residential
74.842,25 mph,1,residential
309.34,25 mph,1,residential
78.338,25 mph,4,secondary
273.893,25 mph,1,residential
83.593,25 mph,"['4', '5']",secondary
273.776,25 mph,1,residential
78.583,25 mph,"['4', '5']",secondary
293.79800000000006,25 mph,1,residential
82.65299999999999,25 mph,"['4', '5']",secondary
78.497,25 mph,4,primary
270.12600000000003,25 mph,1,residential
17.936,25 mph,3,secondary
170.49800000000002,30 mph,"['4', '3']",trunk
163.05700000000002,25 mph,"['4', '5']",secondary
77.69,,,tertiary
145.597,,,tertiary
21.836,,,residential
132.355,,,residential
89.292,,2,primary
87.71,,,residential
79.081,,,residential
79.261,,,residential
168.74900000000002,,,residential
79.149,,,residential
203.23900000000003,,,residential
452.93600000000004,,,residential
108.089,,,tertiary
494.7879999999999,,,residential
132.386,,,residential
396.9200000000001,,,tertiary
78.53,,,tertiary
84.431,25 mph,2,primary
38.657,25 mph,2,primary
77.87299999999999,25 mph,,residential
149.972,25 mph,,residential
260.303,25 mph,,residential
121.46099999999998,25 mph,,residential
204.552,25 mph,1,residential
77.18400000000001,25 mph,,residential
86.316,25 mph,4,secondary
155.85199999999998,25 mph,"['2', '3']",residential
59.988,25 mph,3,residential
80.059,,2,tertiary
79.33099999999999,,2,tertiary
134.24800000000002,,,residential
80.341,,,secondary
53.673,25 mph,"['4', '2']",secondary
97.321,,,residential
113.154,,,tertiary
83.96799999999999,,,tertiary
84.29799999999999,20 mph,,residential
51.422000000000004,,4,primary
134.519,,4,primary
84.298,20 mph,,residential
159.62099999999998,20 mph,,residential
170.269,25 mph,,residential
79.13,25 mph,,secondary
140.679,25 mph,,residential
85.871,,1,living_street
77.845,25 mph,4,secondary
275.481,25 mph,,residential
270.43,25 mph,,residential
79.709,25 mph,"['4', '3']",secondary
278.751,25 mph,2,residential
78.07300000000001,25 mph,4,secondary
79.092,25 mph,"['4', '5']",primary
274.63,25 mph,"['2', '1']",unclassified
78.16199999999999,25 mph,6,secondary
264.898,25 mph,"['2', '1']",unclassified
19.144,25 mph,1,unclassified
83.059,30 mph,4,trunk
192.345,,,residential
85.367,25 mph,3,secondary
